Respondent,Professional,Countries,EmploymentStatus,CompanySize,CompanyType,JobSatisfaction,JobSeekingStatus,ImportantBenefits
18,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Expected work hours; Remote options
120,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
175,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Vacation/days off; Health benefits; Professional development sponsorship; Remote options
196,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Expected work hours; Child/elder care
236,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Health benefits; Equipment; Professional development sponsorship; Education sponsorship
276,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
519,Professional developer,India,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
587,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
624,Professional developer,Germany,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Annual bonus; Vacation/days off; Equipment; Private office; Meals
629,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Vacation/days off; Health benefits; Education sponsorship
676,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
697,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,I am not interested in new job opportunities,Annual bonus; Health benefits; Professional development sponsorship; Remote options
701,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",NA
795,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
808,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,NA,NA
891,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Stock options; Health benefits; Equipment; Remote options; Meals
899,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Retirement; Vacation/days off; Health benefits; Equipment; Remote options
1203,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Remote options
1259,Professional developer,Australia,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,2,NA,NA
1264,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,4,I am not interested in new job opportunities,Vacation/days off; Health benefits; Equipment; Expected work hours; Remote options
1422,Professional developer,Ireland,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Equipment; Education sponsorship; Long-term leave
1509,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,"I'm not actively looking, but I am open to new opportunities",NA
1544,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,I am not interested in new job opportunities,Retirement; Vacation/days off; Equipment; Professional development sponsorship; Remote options
1556,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Professional development sponsorship; Expected work hours; Remote options
1602,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Remote options
1758,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Professional development sponsorship; Remote options
1777,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Stock options; Retirement; Annual bonus; Remote options
2014,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Vacation/days off; Health benefits; Expected work hours; Remote options; Meals
2040,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,I am actively looking for a job,Retirement; Vacation/days off; Health benefits; Expected work hours; Remote options
2053,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Charitable match; Equipment; Remote options; Meals
2062,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",NA
2092,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,NA,NA
2115,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Stock options; Annual bonus; Health benefits; Professional development sponsorship; Remote options
2138,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
2139,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,NA,NA
2212,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,"I'm not actively looking, but I am open to new opportunities",Retirement; Health benefits; Expected work hours; Meals
2258,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,10,NA,NA
2324,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,9,I am not interested in new job opportunities,Stock options; Retirement; Health benefits; Equipment; Professional development sponsorship
2399,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,6,"I'm not actively looking, but I am open to new opportunities",Vacation/days off; Health benefits; Equipment; Professional development sponsorship; Expected work hours
2434,Professional developer,Canada,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,NA,NA
2513,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,8,"I'm not actively looking, but I am open to new opportunities",NA
2530,Professional developer,United States,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,7,NA,NA
2624,Professional developer,United Kingdom,Employed full-time,"1,000 to 4,999 employees",Publicly-traded corporation,5,"I'm not actively looking, but I am open to new opportunities",Retirement; Annual bonus; Vacation/days off; Health benefits; Professional development sponsorship
